Title,Year,Director,Casting,Ratings,genre
Carnival of Souls,1962,Herk Harvey,"Candace Hilligoss,Herk Harvey,Frances Feist,Sidney Berger",86,horror
[Rec],2007,Jaume Balagueró,"Manuela Velasco,Pablo Rosso,Martha Carbonell,Jorge-Yamam Serrano",89,horror
Paranormal Activity,2009,Oren Peli,"Katie Featherston,Micah Sloat,Mark Fredrichs,Amber Armstrong",83,horror
The Conjuring 2,2016,James Wan,"Vera Farmiga,Patrick Wilson,Frances O'Connor (II) ,Madison Wolfe",80,horror
Come to Daddy,2020,Ant Timpson,"Elijah Wood,Stephen McHattie,Martin Donovan,Michael Smiley",86,horror
The Girl With All the Gifts,2017,Colm McCarthy,"Gemma Arterton,Paddy Considine,Glenn Close,Sennia Nanua",85,horror
"Goodnight Mommy (Ich seh, Ich seh)",2015,Veronika Franz,"Susanne Wuest,Lukas Schwarz Thorsteinsson,Elias Schwarz,Hans Escher",85,horror
House On Haunted Hill,1959,William Castle,"Vincent Price,Carol Ohmart,Annabelle Ohmart,Alan Marshal",88,horror
Los ojos de Julia (Julia's Eyes),2010,Guillem Morales,"Belén Rueda,Lluis Homar,Pablo Derqui,Francesc Orella",90,horror
Sisters,1973,Stephane Kaas,,87,horror
Slither,2006,James Gunn (II),"Nathan Fillion,Elizabeth Banks,Gregg Henry,Michael Rooker",86,horror
Cargo,2018,Yolanda Ramke,"Martin Freeman,Natasha Wanganeen,David Gulpilil,Anthony Hayes",88,horror
Dead Alive,1993,Peter Jackson,"Timothy Balme,Diana Peñalver,Elizabeth Moody,Ian Watkin",88,horror
Freaks,2019,Zach Lipovsky,"Emile Hirsch,Bruce Dern,Grace Park,Amanda Crew",88,horror
The Tenant,1976,Roman Polanski,"Roman Polanski,Melvyn Douglas,Isabelle Adjani,Bernard Fresson",88,horror
Better Watch Out,2017,Chris Peckover,"Levi Miller,Olivia DeJonge,Ed Oxenbould,Dacre Montgomery",89,horror
The Thing,1982,John Carpenter,"Kurt Russell,Wilford Brimley,T.K. Carter,David Clennon",86,horror
An American Werewolf in London,1981,John Landis,"David Naughton,Griffin Dunne,Jenny Agutter,John Woodvine",88,horror
The Omen,1976,Richard Donner,"Gregory Peck,Lee Remick,David Warner,Billie Whitelaw",86,horror
Creepy (Kuripi: Itsuwari no rinjin),2016,Kiyoshi Kurosawa,"Yuko Takeuchi,Hidetoshi Nishijima,Teruyuki Kagawa,Haruna Kawaguchi",90,horror
Ginger Snaps,2001,John Fawcett,"Katharine Isabelle,Emily Perkins,Kris Lemche,Kristopher Lemche",90,horror
I Walked With a Zombie,1943,Jacques Tourneur,"James Ellison,Frances Dee,Tom Conway,Edith Barrett",85,horror
Poltergeist,1982,Tobe Hooper,"JoBeth Williams,Craig T. Nelson,Beatrice Straight,Dominique Dunne",86,horror
Hounds of Love,2017,Ben Young,"Emma Booth,Ashleigh Cummings,Stephen Curry,Susie Porter",88,horror
The Exorcist,1973,William Friedkin,"Linda Blair,Jason Miller,Max von Sydow,Ellen Burstyn",83,horror
The Abominable Dr. Phibes,1971,Robert Fuest,"Vincent Price,Joseph Cotten,Hugh Griffith,Virginia North",88,horror
1922,2017,Zak Hilditch,"Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard",91,horror
The Descent,2006,Neil Marshall,"Shauna Macdonald,Alex Reid,Natalie Jackson Mendoza,Saskia Mulder",86,horror
Crawl,2019,Alex Aja,"Kaya Scodelario,Barry Pepper,Morfydd Clark,Ross Anderson",84,horror
Martin,1977,George A. Romero,"John Amplas,Lincoln Maazel,Elyane Nadeau,Christine Forrest",90,horror
Henry: Portrait of a Serial Killer,1986,John McNaughton,"Michael Rooker,Tom Towles,Tracy Arnold,Tracey Arnold",87,horror
House (Hausu),1977,Nobuhiko Ôbayashi,"Kimiko Ikegami,Kumiko Ohba,Kumiko Oba,Mitsutoshi Ishigami",90,horror
The Invitation,2016,Karyn Kusama,"Michiel Huisman,Logan Marshall-Green,John Carroll Lynch,Tammy Blanchard",89,horror
Rare Exports: A Christmas Tale,2010,Jalmari Helander,"Onni Tommila,Jorma Tommila,Ilmari Järvenpää,Peeter Jakobi",90,horror
